date,confrontation_index,positive_count,negative_count,positive_influence,negative_influence
2021-08-21,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-08-22,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-08-23,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-08-24,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-08-25,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-08-26,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-08-28,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-08-29,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-08-30,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-08-31,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-09-01,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-09-03,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-09-05,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-09-06,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-09-07,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-09-08,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-09-09,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-09-10,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-09-11,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-09-12,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-09-15,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-09-16,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-09-17,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-09-18,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-09-19,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-09-20,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-09-21,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-09-23,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-09-24,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-09-25,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-09-27,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-09-28,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-09-29,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-10-01,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-10-02,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-10-04,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-10-05,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-10-07,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-10-08,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-10-09,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-10-10,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-10-11,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-10-12,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-10-13,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-10-14,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-10-15,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-10-16,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-10-18,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-10-19,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-10-21,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-10-22,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-10-23,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-10-24,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-10-25,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-10-26,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-10-27,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-10-28,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-10-30,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-10-31,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-11-01,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-11-02,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-11-03,8.760183713567022e-05,0.0,7.0,0.0,7.0
2021-11-04,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-11-05,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-11-06,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-11-07,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-11-09,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-11-10,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-11-11,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-11-12,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-11-13,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-11-14,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-11-15,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-11-16,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-11-17,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-11-18,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-11-19,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-11-20,0.00012514548162238602,0.0,10.0,0.0,10.0
2021-11-21,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-11-22,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-11-23,0.00011263093346014742,0.0,9.0,0.0,9.0
2021-11-24,0.00018771822243357904,0.0,15.0,0.0,15.0
2021-11-25,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-11-26,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-11-27,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-11-28,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-11-29,8.760183713567022e-05,0.0,7.0,0.0,7.0
2021-11-30,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-12-01,0.00028783460773148785,0.0,23.0,0.0,23.0
2021-12-02,0.00016268912610910183,0.0,13.0,0.0,13.0
2021-12-03,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-12-04,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-12-05,0.00013766002978462462,0.0,11.0,0.0,11.0
2021-12-06,0.00012514548162238602,0.0,10.0,0.0,10.0
2021-12-07,0.00015017457794686323,0.0,12.0,0.0,12.0
2021-12-08,0.00016268912610910183,0.0,13.0,0.0,13.0
2021-12-09,0.00011263093346014742,0.0,9.0,0.0,9.0
2021-12-10,0.00015017457794686323,0.0,12.0,0.0,12.0
2021-12-11,0.00010011638529790881,0.0,8.0,0.0,8.0
2021-12-12,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-12-13,0.00020023277059581763,0.0,16.0,0.0,16.0
2021-12-14,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-12-15,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-12-16,0.00017520367427134045,0.0,14.0,0.0,14.0
2021-12-17,0.00010011638529790881,0.0,8.0,0.0,8.0
2021-12-18,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-12-19,0.00011263093346014742,0.0,9.0,0.0,9.0
2021-12-20,0.00015017457794686323,0.0,12.0,0.0,12.0
2021-12-21,0.00015017457794686323,0.0,12.0,0.0,12.0
2021-12-22,0.00023777641508253346,0.0,19.0,0.0,19.0
